event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Page Views,anonymous,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/,,US,Virginia,web,,,1404201617,Windows,Firefox,
Practice View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/practice/hoTKPGdkrSGzGF38L,,US,Virginia,web,,,1404201849,Windows,Firefox,RE: Meeting next week regarding sales conference
Play Audio,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,,,1404202025,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/2mSzgwTjxzycFtakQ,,US,Virginia,web,1404227230,,1404202057,Windows,Firefox,I Can't Make Friday
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227311,,1404202138,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/8afaRMaTDCjx6BXSJ,,US,Virginia,web,1404227314,,1404202141,Windows,Firefox,Availability for Meeting About Strategic Plan
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227335,,1404202162,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/JPE2xHmN5EJYLBYKH,,US,Virginia,web,1404227337,,1404202164,Windows,Firefox,Back from Vacation Everybody!!
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227361,,1404202188,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/zQXNdpa4vgsKM2myZ,,US,Virginia,web,1404227378,,1404202206,Windows,Firefox,Wait on the Marketing Report
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227382,,1404202209,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/usFoHtq6g3Kq5w5fG,,US,Virginia,web,1404227465,,1404202292,Windows,Firefox,This week is crazy for me
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227467,,1404202294,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/usFoHtq6g3Kq5w5fG,,US,Virginia,web,1404227474,,1404202301,Windows,Firefox,This week is crazy for me
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227475,,1404202302,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/C3xXvk6bRNEw4EvaR,,US,Virginia,web,1404227498,,1404202325,Windows,Firefox,Summary has some challenges
Back to Inbox,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/survey,,US,Virginia,web,1404227502,,1404202329,Windows,Firefox,
Message View,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/messages/92gL25F2Ls9jEGKXc,,US,Virginia,web,1404227558,,1404202385,Windows,Firefox,Meeting
